x y label
743.501332169 1407.01456772 1
846.733251608 1681.52279699 1
809.949326197 1308.68647702 1
1251.12166261 1802.56305897 1
647.291338073 841.858593289 1
720.005337138 2596.72661372 1
808.811443515 1164.7059507 1
705.751624782 1183.87030834 1
848.020445053 1203.46508305 1
751.630263723 1492.5758699 1
747.259421944 1235.88226726 1
733.886387007 1317.07124497 1
848.528682552 1322.58611762 1
814.38359829 1255.28235495 1
704.427371379 1314.32614345 1
874.107785234 3587.77928762 1
867.441827329 1459.96608173 1
849.779228198 1747.53930001 1
801.184390385 1154.75953018 1
946.502075675 1720.87045156 1
1170.57745443 1674.4373919 1
751.368849358 925.061278214 1
794.741945622 1541.79830458 1
1374.11737413 3058.44271856 1
805.833025612 990.208212768 1
666.92528678 1151.76553728 1
842.445440344 1573.22689614 1
1246.35707812 1495.97195703 1
676.031898137 971.269875303 1
658.928312449 1182.65371483 1
787.811859107 1071.30165346 1
729.776108872 1405.98942464 1
910.489219259 1230.90098706 1
848.417407387 1529.65159489 1
614.459447484 1423.47059407 1
901.99814523 1463.16369581 1
928.909408968 1684.73820035 1
790.467519072 1265.82209187 1
724.561786602 1343.71612845 1
905.778777379 1442.92085776 1
815.04212577 1534.89037402 1
777.578253261 1096.28960903 1
708.422126434 1237.66212088 1
791.308379323 1160.73175161 1
