frequency f1 f2 f3 f4 f5 f6 f7 f8 f9 f10 f11 f12 f13 f14 f15 f16 f17 f18 f19 f20
1031.250000 nan nan nan nan nan nan 0.002404 0.002415 nan nan nan nan nan nan nan nan nan nan nan nan
1039.062500 nan nan nan nan nan nan 0.002210 0.002587 nan nan nan nan nan nan nan nan nan nan nan nan
1046.875000 nan nan nan nan nan nan 0.002017 0.002759 nan nan nan nan nan nan nan nan nan nan nan nan
1054.687500 nan nan nan nan nan nan 0.001823 0.002931 nan nan nan nan nan nan nan nan nan nan nan nan
1062.500000 nan nan nan nan nan nan 0.001629 0.003102 nan nan nan nan nan nan nan nan nan nan nan nan
1070.312500 nan nan nan nan nan nan 0.001435 0.003274 nan nan nan nan nan nan nan nan nan nan nan nan
1078.125000 nan nan nan nan nan nan 0.001242 0.003446 nan nan nan nan nan nan nan nan nan nan nan nan
1085.937500 nan nan nan nan nan nan 0.001048 0.003618 nan nan nan nan nan nan nan nan nan nan nan nan
1093.750000 nan nan nan nan nan nan 0.000854 0.003790 nan nan nan nan nan nan nan nan nan nan nan nan
1101.562500 nan nan nan nan nan nan 0.000660 0.003962 nan nan nan nan nan nan nan nan nan nan nan nan
1109.375000 nan nan nan nan nan nan 0.000467 0.004134 nan nan nan nan nan nan nan nan nan nan nan nan
1117.187500 nan nan nan nan nan nan 0.000273 0.004305 nan nan nan nan nan nan nan nan nan nan nan nan
1125.000000 nan nan nan nan nan nan 0.000079 0.004477 0.000000 nan nan nan nan nan nan nan nan nan nan nan
1132.812500 nan nan nan nan nan nan 0.000000 0.004457 0.000080 nan nan nan nan nan nan nan nan nan nan nan
1140.625000 nan nan nan nan nan nan nan 0.004305 0.000215 nan nan nan nan nan nan nan nan nan nan nan
1148.437500 nan nan nan nan nan nan nan 0.004152 0.000350 nan nan nan nan nan nan nan nan nan nan nan
1156.250000 nan nan nan nan nan nan nan 0.004000 0.000486 nan nan nan nan nan nan nan nan nan nan nan
1164.062500 nan nan nan nan nan nan nan 0.003847 0.000621 nan nan nan nan nan nan nan nan nan nan nan
1171.875000 nan nan nan nan nan nan nan 0.003695 0.000756 nan nan nan nan nan nan nan nan nan nan nan
1179.687500 nan nan nan nan nan nan nan 0.003543 0.000891 nan nan nan nan nan nan nan nan nan nan nan
1187.500000 nan nan nan nan nan nan nan 0.003390 0.001026 nan nan nan nan nan nan nan nan nan nan nan
1195.312500 nan nan nan nan nan nan nan 0.003238 0.001161 nan nan nan nan nan nan nan nan nan nan nan
1203.125000 nan nan nan nan nan nan nan 0.003085 0.001297 nan nan nan nan nan nan nan nan nan nan nan
1210.937500 nan nan nan nan nan nan nan 0.002933 0.001432 nan nan nan nan nan nan nan nan nan nan nan
1218.750000 nan nan nan nan nan nan nan 0.002781 0.001567 nan nan nan nan nan nan nan nan nan nan nan
1226.562500 nan nan nan nan nan nan nan 0.002628 0.001702 nan nan nan nan nan nan nan nan nan nan nan
1234.375000 nan nan nan nan nan nan nan 0.002476 0.001837 nan nan nan nan nan nan nan nan nan nan nan
1242.187500 nan nan nan nan nan nan nan 0.002323 0.001973 nan nan nan nan nan nan nan nan nan nan nan
1250.000000 nan nan nan nan nan nan nan 0.002171 0.002108 nan nan nan nan nan nan nan nan nan nan nan
1257.812500 nan nan nan nan nan nan nan 0.002018 0.002243 nan nan nan nan nan nan nan nan nan nan nan
1265.625000 nan nan nan nan nan nan nan 0.001866 0.002378 nan nan nan nan nan nan nan nan nan nan nan
